id,rate
1,0.1258309930562973
2,0.4147767424583435
3,0.1693572849035263
4,0.3536801338195801
5,
6,
7,0.34727808833122253
8,0.36452198028564453
9,0.48088109493255615
10,0.4821241497993469
11,
12,0.4837152063846588
13,
14,
15,0.19438843429088593
16,0.18386660516262054
17,0.186045840382576
18,0.4828028380870819
19,
20,0.3904123306274414
21,0.10001376271247864
22,0.3991093635559082
23,0.18134033679962158
24,0.1319722682237625
25,
26,0.5134837627410889
27,0.21569374203681946
28,
29,0.238845556974411
30,0.17305786907672882
31,0.06312273442745209
32,
33,0.4746645390987396
34,
35,
36,0.2667367458343506
37,0.21795283257961273
38,0.5258678197860718
39,
40,0.06712879240512848
41,0.4017457365989685
42,0.4900810420513153
43,0.24367307126522064
44,0.3775252103805542
45,0.38800203800201416
46,
47,
48,
49,0.28592613339424133
50,
51,0.40780341625213623
52,0.16136765480041504
53,0.2368759959936142
54,0.5366873741149902
55,0.1681390255689621
56,0.2601326107978821
57,0.29022663831710815
58,
59,0.2718793749809265
60,0.1546953022480011
61,
62,0.2527438700199127
63,0.353434294462204
64,
65,0.1630619615316391
66,0.2765733301639557
67,0.3337155282497406
68,0.06598906219005585
69,0.20144324004650116
70,0.060746341943740845
71,0.3023010790348053
72,0.07225687056779861
73,
74,0.10868161916732788
75,0.5492338538169861
76,0.45807918906211853
77,0.10402637720108032
78,0.2228640764951706
79,0.18529321253299713
80,0.13399958610534668
81,0.07311926037073135
82,0.4549652636051178
83,
84,
85,0.17725493013858795
86,0.062039684504270554
87,
88,
89,0.13625270128250122
90,0.22039934992790222
91,
92,0.18782465159893036
93,0.5109190940856934
94,0.30624663829803467
95,0.26304057240486145
96,
97,0.17357443273067474
98,0.419138103723526
99,0.27602773904800415
100,0.2773459851741791
101,0.38379669189453125
102,0.5227762460708618
103,0.25229930877685547
104,0.06172173097729683
105,0.21852745115756989
106,0.08109154552221298
107,0.062225859612226486
108,
109,0.15605294704437256
110,0.4488082528114319
111,0.3684566915035248
112,0.3078717887401581
113,0.3818769156932831
114,0.06114240363240242
115,0.0974292904138565
116,0.2869988977909088
117,0.31983888149261475
118,
119,0.35233867168426514
120,0.061715081334114075
121,0.5587941408157349
122,0.13217419385910034
123,0.11764431744813919
124,0.4363575875759125
125,
126,0.2067631334066391
127,0.10528197884559631
128,0.49230271577835083
129,0.23756271600723267
130,
131,0.11292225122451782
132,0.22412990033626556
133,0.4361729323863983
134,0.12097248435020447
135,0.39412808418273926
136,0.17769688367843628
137,0.1755518764257431
138,0.07975779473781586
139,0.13230003416538239
140,0.23906342685222626
141,
142,0.1939534693956375
143,
144,0.16618502140045166
145,0.49224990606307983
146,0.4986896812915802
147,
148,0.15946245193481445
149,0.15717320144176483
150,0.08638879656791687
151,0.415908545255661
152,0.3221047818660736
153,
154,0.2326245754957199
155,0.5192004442214966
156,0.1495046764612198
157,0.28619813919067383
158,
159,
160,0.206528440117836
161,0.1235218346118927
162,
163,0.50822913646698
164,0.16105669736862183
165,
166,
167,
168,0.16021095216274261
169,
170,
171,0.21339048445224762
172,
173,
174,0.075601726770401
175,0.2688821256160736
176,
177,0.08523134887218475
178,
179,0.4472047686576843
180,0.08032850921154022
181,0.5040715336799622
182,0.25015270709991455
183,0.37421151995658875
184,0.28089639544487
185,0.2974560856819153
186,0.3407857418060303
187,0.4408000707626343
188,0.24096661806106567
189,
190,0.3959614336490631
191,0.1667529195547104
192,0.1525474339723587
193,0.10037457942962646
194,
195,0.36924585700035095
196,0.1827983409166336
197,0.4267680048942566
198,0.271432489156723
199,0.32261478900909424
200,0.26025769114494324
201,0.3102516531944275
202,0.32880648970603943
203,0.3822140395641327
204,0.15627014636993408
205,0.37102484703063965
206,
207,0.3179042339324951
208,0.13826417922973633
209,0.2448287159204483
210,0.06666707247495651
211,0.3246026933193207
212,
213,0.4158737361431122
214,0.5457156896591187
215,
216,0.3419748842716217
217,0.5161823034286499
218,0.15967364609241486
219,
220,0.5238298177719116
221,0.5142365097999573
222,0.3557392656803131
223,0.0981166809797287
224,0.33247897028923035
225,0.3166133463382721
226,0.0633518248796463
227,0.11894595623016357
228,
229,0.14176851511001587
230,0.08821519464254379
231,0.12553931772708893
232,
233,0.32497674226760864
234,0.1961168646812439
235,0.1272764801979065
236,
237,
238,0.3630506694316864
239,0.4821241497993469
240,0.2795572876930237
241,0.08809271454811096
242,
243,0.06094679236412048
244,0.08316075056791306
245,0.18561817705631256
246,0.16794562339782715
247,0.4006941318511963
248,0.34536346793174744
249,0.2550841271877289
250,0.14309900999069214
251,0.1255684196949005
252,0.25817060470581055
253,0.28096938133239746
254,0.37456414103507996
255,0.53019118309021
256,0.15779437124729156
257,0.24742208421230316
258,
259,
260,
261,0.3759455382823944
262,
263,0.2347584217786789
264,0.1339608132839203
265,0.06171063706278801
266,0.080569788813591
267,0.2813694179058075
268,0.4663933217525482
269,0.40534061193466187
270,
271,0.18396241962909698
272,
273,
274,
275,0.10332564264535904
276,0.41757285594940186
277,0.06814490258693695
278,0.14635325968265533
279,0.40381625294685364
280,0.11769352853298187
281,0.46900609135627747
282,
283,0.25857698917388916
284,
285,0.11692929267883301
286,0.4561653733253479
287,0.5153129696846008
288,0.12370431423187256
289,0.3753623366355896
290,0.3485609292984009
291,0.31139716506004333
292,0.41101783514022827
293,0.1588703691959381
294,0.08995260298252106
295,0.17552341520786285
296,0.20332300662994385
297,0.08839686214923859
298,0.529962420463562
299,
300,0.4671269953250885
301,0.3131166696548462
302,
303,0.23039117455482483
304,0.3471851944923401
305,0.38251253962516785
306,
307,0.08282063901424408
308,0.5212653279304504
309,0.06100618094205856
310,
311,0.2668193280696869
312,0.4010876715183258
313,0.40122759342193604
314,0.36905068159103394
315,0.45818713307380676
316,
317,0.1605275273323059
318,
319,0.18930581212043762
320,0.1682491898536682
321,
322,0.31130659580230713
323,0.3544495701789856
324,0.17062370479106903
325,
326,0.21610815823078156
327,0.08872367441654205
328,0.06028028205037117
329,
330,0.07797011733055115
331,0.33651793003082275
332,0.40683823823928833
333,0.06184353679418564
334,0.09439957141876221
335,0.06102742254734039
336,0.14925216138362885
337,0.3685861825942993
338,0.4470447599887848
339,
340,
341,0.2419513612985611
342,0.4797240197658539
343,
344,0.47426271438598633
345,0.3888859450817108
346,0.5219925045967102
347,0.14333531260490417
348,0.12452684342861176
349,0.26141342520713806
350,0.24125875532627106
351,0.3379800021648407
352,
353,0.5580911636352539
354,
355,0.08774944394826889
356,0.33637750148773193
357,0.06082427129149437
358,
359,
360,0.4098195731639862
361,0.2973708212375641
362,0.34226080775260925
363,0.48869264125823975
364,0.5095391273498535
365,0.12713927030563354
366,0.3733176290988922
367,0.49222055077552795
368,0.13470596075057983
369,0.06473646312952042
370,0.11656640470027924
371,0.4400014281272888
372,0.48887714743614197
373,0.18559786677360535
374,0.23034541308879852
375,
376,0.14350037276744843
377,0.22787222266197205
378,
379,0.07208903878927231
380,0.5095391273498535
381,
382,0.3471851944923401
383,
384,0.06534373760223389
385,0.24227719008922577
386,0.18339325487613678
387,0.1260267198085785
388,0.2567673623561859
389,0.10524488240480423
390,0.09732110798358917
391,0.19491001963615417
392,
393,0.06708917766809464
394,
395,
396,0.11072185635566711
397,0.15299871563911438
398,0.06622197479009628
399,0.11548024415969849
400,0.20639252662658691
401,0.17920389771461487
402,0.1732955425977707
403,0.25281351804733276
404,0.24231263995170593
405,0.14848126471042633
406,0.27760589122772217
407,
408,0.4961355924606323
409,0.4099772274494171
410,
411,
412,
413,0.1804058849811554
414,0.2558481991291046
415,0.1328170895576477
416,
417,0.0708557665348053
418,0.10217723250389099
419,0.45991194248199463
420,
421,0.19845229387283325
422,0.06956306099891663
423,0.25921547412872314
424,0.1406826376914978
425,
426,
427,0.06658267229795456
428,0.13264521956443787
429,0.29611849784851074
430,0.3331545293331146
431,0.08501161634922028
432,0.08911144733428955
433,0.39438971877098083
434,0.3129919767379761
435,0.23851804435253143
436,0.2621685266494751
437,0.29743650555610657
438,
439,0.1502123475074768
440,0.0678282156586647
